Comment,Designator,Footprint,LCSC
"BAT54S","BAT1","Package_TO_SOT_SMD:SOT-23",""
"100nF","C1","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C24497"
"10nF","C2","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C152841"
"1uF","C3","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C1848"
"220nF","C4","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C1857"
"100uF","CAP1","Capacitor_SMD:CP_Elec_6.3x7.7","C127971"
"10uF","CAP2","Capacitor_SMD:CP_Elec_6.3x5.7","C249820"
"0.1uF","CBY1","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"INA240A1","INA1,INA2","Package_SO:TSSOP-8_4.4x3mm_P0.65mm",""
"Conn_01x02","J1","digikey-footprints:Term_Block_1x2_P5mm",""
"Conn_01x10","J2","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical",""
"Conn_01x03","J3","digikey-footprints:Term_Block_1x3_P5mm",""
"L78M08","L1","Package_TO_SOT_SMD:TO-252-2",""
"4.7k","R2","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C17936"
"10mOhm","RCS1,RCS2","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",""
"L6234","U1","Package_SO:HSOP-20-1EP_11.0x15.9mm_P1.27mm_SlugDown_ThermalVias",""